,DHT11_Temp,DHT11_Hum,DHT22_Temp,DHT22_Hum
2025-04-27 03:00:00+00:00,26.780645161290323,39.16129032258065,26.18064516129032,49.4483870967742
2025-04-27 04:00:00+00:00,26.051724137931036,64.58620689655173,25.53448275862069,71.17068965517241
2025-04-27 05:00:00+00:00,26.566666666666666,57.75438596491228,25.996491228070173,65.93508771929825
2025-04-27 06:00:00+00:00,27.0359375,53.28125,26.721875,61.8765625
2025-04-27 07:00:00+00:00,27.89612068965517,60.49568965517241,28.24655172413793,67.65732758620689
2025-04-27 08:00:00+00:00,30.885074626865674,56.149253731343286,32.38955223880597,63.33582089552239
2025-04-27 09:00:00+00:00,30.869473684210526,59.07368421052632,32.12842105263158,65.73684210526316
2025-04-27 10:00:00+00:00,29.992307692307694,60.23076923076923,31.35641025641026,66.3
2025-04-27 11:00:00+00:00,29.23695652173913,61.44565217391305,30.32608695652174,65.1304347826087
2025-04-27 12:00:00+00:00,29.63469387755102,65.73469387755102,33.204081632653065,65.86530612244898
2025-04-27 16:00:00+00:00,27.3,68.71171171171171,27.745945945945945,71.53783783783784
2025-04-27 17:00:00+00:00,30.63692307692308,60.50769230769231,32.872307692307686,63.72461538461539
